Code INSEE,Nombre de maisons à vendre,Prix moyen au m2,Ville
35184,40,2222,Montauban-De-Bretagne 35360
35185,1,1483,Montautour 35210
35186,10,2223,Mont-Dol 35120
35187,3,1896,Monterfil 35160
35188,18,2485,Montfort-Sur-Meu 35160
35189,9,3288,Montgermont 35760
35190,2,1172,Monthault 35420
35191,15,1527,Montours 35460
35192,3,1695,Montreuil-Des-Landes 35210
35193,16,3161,Montreuil-Le-Gast 35520
35194,5,1836,Montreuil-Sous-Perouse 35500
35195,11,2272,Montreuil-Sur-Ille 35440
35196,18,2621,Mordelles 35310
35197,4,2873,Mouaze 35250
35198,1,1806,Moulins 35680
35200,1,1547,Moutiers 35130
35201,3,2067,Muel 35290
35202,3,1877,La Noe-Blanche 35470
35204,22,2391,Nouvoitou 35410
35205,4,2145,Noyal-Sous-Bazouges 35560
35206,31,2731,Noyal-Chatillon-Sur-Seiche 35230
35207,12,2820,Noyal-Sur-Vilaine 35530
35208,26,2627,Orgeres 35230
35210,64,3238,Pace 35740
35211,7,2050,Paimpont 35380
35214,3,1348,Parce 35210
35215,7,1532,Parigne 35133
35216,4,2589,Parthenay-De-Bretagne 35850
35217,6,1219,Le Pertre 35370
35218,2,1449,Le Petit-Fougeray 35320
35219,36,1679,Pipriac 35550
35220,14,2338,Pire-Sur-Seiche 35150
35221,3,1741,Plechatel 35470
35222,10,1554,Pleine-Fougeres 35610
35223,7,2092,Plelan-Le-Grand 35380
35224,18,2466,Plerguer 35540
35225,7,2579,Plesder 35720
35226,10,2231,Pleugueneuc 35720
35227,11,2831,Pleumeleuc 35137
35228,72,3130,Pleurtuit 35730
35229,3,2191,Poce-Les-Bois 35500
35230,2,1972,Poilley 35420
35231,5,1456,Poligne 35320
35232,3,1133,Prince 35210
35233,4,2090,Quebriac 35190
35234,4,2027,Quedillac 35290
35235,2,1287,Rannee 35130
35236,57,2061,Redon 35600
35237,12,1378,Renac 35660
35238,349,4831,Rennes 35000
35239,43,1635,Retiers 35240
35240,41,2744,Le Rheu 35650
35241,20,3863,La Richardais 35780
35242,3,1695,Rimou 35560
35243,10,1961,Romagne 35133
35244,1,1593,Romazy 35490
35245,4,2858,Romille 35850
35246,6,2258,Roz-Landrieux 35120
35247,20,2387,Roz-Sur-Couesnon 35610
35248,6,1523,Sains 35610
35249,6,1455,Sainte-Anne-Sur-Vilaine 35390
35250,10,2699,Saint-Armel 35230
35251,20,2718,Saint-Aubin-D'aubigne 35250
35252,6,1478,Saint-Aubin-Des-Landes 35500
35253,18,2231,Saint-Aubin-Du-Cormier 35140
35255,7,2682,Saint-Benoit-Des-Ondes 35114
35256,39,6966,Saint-Briac-Sur-Mer 35800
35257,15,1751,Saint-Brice-En-Cogles 35460
35258,2,2228,Saint-Brieuc-Des-Iffs 35630
35259,6,2263,Saint-Broladre 35120
35260,3,1322,Saint-Christophe-Des-Bois 35210
35263,20,3710,Saint-Coulomb 35350
35264,9,2474,Saint-Didier 35220
35265,7,2029,Saint-Domineuc 35190
35266,23,2960,Saint-Erblon 35230
35268,4,1911,Saint-Ganton 35550
35270,2,1736,Saint-Georges-De-Grehaigne 35610
35271,10,1210,Saint-Georges-De-Reintembault 35420
35272,3,2077,Saint-Germain-Du-Pinel 35370
35273,9,1525,Saint-Germain-En-Cogles 35133
35274,5,2678,Saint-Germain-Sur-Ille 35250
35275,36,2668,Saint-Gilles 35590
35276,2,2628,Saint-Gondran 35630
35277,2,1925,Saint-Gonlay 35750
35278,40,3807,Saint-Gregoire 35760
35279,7,2439,Saint-Guinoux 35430
35280,3,1616,Saint-Hilaire-Des-Landes 35140
35281,11,3561,Saint-Jacques-De-La-Lande 35136
35282,5,1932,Saint-Jean-Sur-Couesnon 35140
35283,4,2102,Saint-Jean-Sur-Vilaine 35220
35284,25,3678,Saint-Jouan-Des-Guerets 35430
35285,8,1583,Saint-Just 35550
35287,23,4487,Saint-Lunaire 35800
35288,258,4608,Saint-Malo 35400
35289,2,1565,Saint-Malo-De-Phily 35480
35290,3,1644,Saint-Malon-Sur-Mel 35750
35291,3,1477,Saint-Marcan 35120
35292,5,1537,Saint-Marc-Le-Blanc 35460
35294,25,2017,Sainte-Marie 35600
35295,3,1967,Saint-Maugan 35750
35296,4,2104,Saint-Medard-Sur-Ille 35250
35297,23,1978,Saint-Meen-Le-Grand 35290
35299,28,3196,Saint-Meloir-Des-Ondes 35350
35300,12,1923,Saint-M'herve 35500
35302,3,2177,Saint-Onen-La-Chapelle 35290
35304,6,2048,Saint-Ouen-Des-Alleux 35140
35306,18,2713,Saint-Pere 35430
35307,3,1897,Saint-Pern 35190
35308,15,2143,Saint-Pierre-De-Plesguen 35720
35309,1,850,Saint-Remy-Du-Plain 35560
35310,2,1778,Saint-Sauveur-Des-Landes 35133
35311,5,1359,Saint-Seglin 35330
35312,7,2294,Saint-Senoux 35580
35314,8,4583,Saint-Suliac 35430
35315,6,2575,Saint-Sulpice-La-Foret 35250
35316,4,953,Saint-Sulpice-Des-Landes 35390
35317,584,2761,Flize 08160
35318,5,2444,Saint-Thual 35190
35319,5,2840,Saint-Thurial 35310
35320,3,2311,Saint-Uniac 35360
35321,6,1930,Saulnieres 35320
35322,3,1754,Le Sel-De-Bretagne 35320
35326,20,1804,Sens-De-Bretagne 35490
35327,16,2521,Servon-Sur-Vilaine 35530
35328,8,1582,Sixt-Sur-Aff 35550
35329,13,1716,Sougeal 35610
35330,6,1714,Taillis 35500
35331,13,2216,Talensac 35160
35332,8,920,Teillay 35620
35333,5,2095,Le Theil-De-Bretagne 35240
35334,31,3179,Thorigne-Fouillard 35235
35335,6,1629,Thourie 35134
35336,2,1312,Le Tiercent 35460
35337,22,2185,Tinteniac 35190
35338,2,1116,Torce 35370
35339,3,1630,Trans-La-Foret 35610
35340,1,2349,Treffendel 35380
35342,1,1543,Tremeheuc 35270
35343,9,2084,Tresboeuf 35320
35345,6,2199,Treverien 35190
35347,14,2288,Val-D'ize 35450
35350,1,1725,Vergeal 35680
35351,1,2338,Le Verger 35160
35352,31,3214,Vern-Sur-Seiche 35770
35353,21,2771,Vezin-Le-Coquet 35132
35354,2,1600,Vieux-Viel 35610
35355,3,2047,Vieux-Vy-Sur-Couesnon 35490
35356,12,2861,Vignoc 35630
35357,5,1161,Villamee 35420
35358,7,2999,La Ville-Es-Nonais 35430
35359,4,1636,Visseiche 35130
35360,119,2533,Vitre 35500
35361,19,2916,Le Vivier-Sur-Mer 35960
35362,10,1955,Le Tronchet 35540
35363,14,2464,Pont-Pean 35131
56001,24,2116,Allaire 56350
56002,19,2863,Ambon 56190
56003,39,4971,Arradon 56610
56004,22,3042,Arzal 56190
56005,70,5694,Arzon 56640
56006,9,1948,Augan 56800
56007,66,3640,Auray 56400
56008,79,4898,Baden 56870
56009,8,6471,Bangor 56360
56010,82,2057,Baud 56150
56011,15,2058,Beganne 56350
56012,11,2591,Beignon 56380
56013,52,3413,Belz 56550
56014,6,1217,Berne 56240
56015,9,2281,Berric 56230
56017,7,1876,Bignan 56500
56018,2,4683,Billiers 56190
56019,1,991,Billio 56420
56020,1,1767,Bohal 56140
56021,13,1749,Branderion 56700
56022,8,2540,Brandivy 56390
56023,27,3220,Brech 56400
56024,20,1701,Brehan 56580
56026,24,1309,Bubry 56310
56027,3,1559,Buleon 56420
56028,8,1933,Caden 56220
56029,1,2059,Calan 56240
56030,10,2743,Camoel 56130
56031,42,2378,Camors 56330
56032,11,1491,Campeneac 56800
56033,25,1601,Carentoir 56910
56034,66,5671,Carnac 56340
56035,13,1706,Caro 56140
56036,37,2902,Caudan 56850
56039,11,1564,La Chapelle-Neuve 56500
56040,15,2490,Cleguer 56620
56041,20,1539,Cleguerec 56480
56042,14,2521,Colpo 56390
56043,3,1187,Concoret 56430
56044,3,1317,Cournon 56200
56046,24,3570,Crach 56950
56047,5,1234,Credin 56580
56048,9,1434,Le Croisty 56540
56050,3,1466,La Croix-Hellean 56120
56051,7,1309,Cruguel 56420
56052,47,4680,Damgan 56750
56053,37,2854,Elven 56250
56054,62,3878,Erdeven 56410
56055,22,3678,Etel 56410
56056,6,1302,Evriguet 56490
56057,26,1649,Le Faouet 56320
56058,26,2565,Ferel 56130
56060,8,1747,Les Fougerets 56200
56061,21,1755,La Gacilly 56200
56062,9,3136,Gavres 56680
56063,5,3111,Gestel 56530
56065,3,1884,Gourhel 56800
56066,91,1483,Gourin 56110
56067,36,3056,Grand-Champ 56390
56068,8,1517,La Gree-Saint-Laurent 56120
56069,71,5643,Groix 56590
56070,26,1514,Guegon 56120
56071,4,1035,Guehenno 56420
56072,4,2243,Gueltas 56920
56073,58,1304,Guemene-Sur-Scorff 56160
56074,13,1981,Guenin 56150
56075,34,2094,Guer 56380
56076,22,1520,Guern 56310
56077,8,2615,Le Guerno 56190
56078,81,3779,Guidel 56520
56079,17,1376,Guillac 56800
56080,16,1101,Guilliers 56490
56081,19,1231,Guiscriff 56560
56082,2,1955,Hellean 56120
56083,86,2486,Hennebont 56700
56084,13,3634,Le Hezo 56450
56087,6,8255,Ile-Aux-Moines 56780
56088,3,5302,Ile-D'arz 56840
56089,12,1730,Inguiniel 56240
56090,28,2677,Inzinzac-Lochrist 56650
56091,53,1723,Josselin 56120
56092,3,1954,Kerfourn 56920
56093,5,1274,Kergrist 56300
56094,34,2863,Kervignac 56700
56096,9,3108,Landaul 56690
56097,27,2786,Landevant 56690
56098,56,2702,Lanester 56600
56099,14,1235,Langoelan 56160
56100,28,1499,Langonnet 56630
56101,78,2455,Languidic 56440
56102,25,1476,Lanouee 56120
56103,6,1348,Lantillac 56120
56104,4,1489,Lanvaudan 56240
56105,17,1407,Lanvenegen 56320
56106,25,5708,Larmor-Baden 56870
56107,47,4703,Larmor-Plage 56260
56108,5,2393,Larre 56230
56109,3,2555,Lauzach 56190
56110,22,1559,Lignol 56160
56111,2,1645,Limerzel 56220
56112,7,1639,Lizio 56460
56113,24,1500,Locmalo 56160
56114,13,5586,Locmaria 56360
56115,10,3164,Locmaria-Grand-Champ 56390
56116,31,5344,Locmariaquer 56740
56117,24,2316,Locmine 56500
56118,19,3098,Locmiquelic 56570
56119,34,3062,Locoal-Mendon 56550
56120,8,2984,Locqueltas 56390
56121,119,3231,Lorient 56100
56122,21,1487,Loyat 56800
56123,9,2026,Malansac 56220
56124,15,2328,Malestroit 56140
56125,7,1572,Malguenac 56300
56126,34,2742,Marzan 56130
56127,27,1472,Mauron 56430
56128,31,1630,Melrand 56310
56129,29,1404,Meneac 56490
56130,16,2892,Merlevenez 56700
56131,13,1579,Meslan 56320
56132,12,3340,Meucon 56890
56133,8,1761,Missiriac 56140
56134,8,1091,Mohon 56490
56135,4,1869,Molac 56230
56136,7,1955,Monteneuf 56380
56137,9,2968,Monterblanc 56250
56140,14,2022,Moreac 56500
56141,11,2048,Moustoir-Ac 56500
56143,39,2865,Muzillac 56190
56144,10,1716,Naizin 56500
56145,10,1363,Neant-Sur-Yvel 56430
56146,10,1872,Neulliac 56300
56147,28,2163,Nivillac 56130
56148,5,2789,Nostang 56690
56149,9,2844,Noyal-Muzillac 56190
56151,13,1808,Noyal-Pontivy 56920
56152,24,5734,Le Palais 56360
56153,18,2370,Peaule 56130
56154,14,1646,Peillac 56220
56155,21,3851,Penestin 56760
56156,9,1281,Persquen 56160
56157,11,2975,Plaudren 56420
56158,20,3338,Plescop 56890
56159,12,1962,Pleucadeuc 56140
56160,6,1779,Pleugriffet 56120
56161,24,3601,Ploemel 56400
56162,80,4119,Ploemeur 56270
56163,30,1332,Ploerdut 56160
56164,43,3724,Ploeren 56880
56165,76,1989,Ploermel 56800
56166,52,2055,Plouay 56240
56167,21,3596,Plougoumelen 56400
56168,11,3105,Plouharnel 56340
56169,79,3690,Plouhinec 56680
56170,13,1421,Plouray 56770
56171,3,1837,Pluherlin 56220
56172,16,2033,Plumelec 56420
56173,37,1743,Plumeliau 56930
56174,17,1932,Plumelin 56500
56175,18,2920,Plumergat 56400
56176,26,3032,Pluneret 56400
56177,58,2572,Pluvigner 56330
56178,98,1873,Pontivy 56300
56179,12,3177,Pont-Scorff 56620
56180,3,1463,Porcaro 56380
56181,21,3500,Port-Louis 56290
56182,6,1760,Priziac 56320
56184,31,2115,Questembert 56230
56185,25,2846,Queven 56530
56186,63,5219,Quiberon 56170
56188,27,1781,Quistinic 56310
56189,8,1772,Radenac 56500
56190,6,1650,Reguiny 56500
56191,4,1656,Reminiac 56140
56193,47,2885,Riantec 56670
56194,13,1925,Rieux 56350
56195,6,3211,La Roche-Bernard 56130
56196,2,1986,Rochefort-En-Terre 56220
56197,12,1696,Le Roc-Saint-Andre 56460
56198,26,1366,Rohan 56580
56199,6,977,Roudouallec 56110
56200,8,1619,Ruffiac 56140
56201,5,1487,Le Saint 56110
56203,3,1856,Saint-Aignan 56480
56204,3,1956,Saint-Allouestre 56500
56205,14,3665,Saint-Armel 56450
56206,63,3349,Saint-Ave 56890
56207,24,1760,Saint-Barthelemy 56150
56208,4,1184,Saint-Brieuc-De-Mauron 56430
56210,6,1206,Saint-Caradec-Tregomel 56540
56211,3,2303,Saint-Congard 56140
56212,20,1982,Saint-Dolay 56130
56213,7,1499,Saint-Gerand 56920
56214,45,4747,Saint-Gildas-De-Rhuys 56730
56215,6,1992,Saint-Gonnery 56920
56216,2,1915,Saint-Gorgon 56350
56218,7,1728,Saint-Grave 56220
56219,3,2180,Saint-Guyomard 56460
56220,9,3329,Sainte-Helene 56700
56221,4,1964,Saint-Jacut-Les-Pins 56220
56222,6,2544,Saint-Jean-Brevelay 56660
56223,13,1947,Saint-Jean-La-Poterie 56350
56224,3,1116,Saint-Laurent-Sur-Oust 56140
56225,1,1677,Saint-Lery 56430
56227,11,1075,Saint-Malo-Des-Trois-Fontaines 56490
56228,4,2989,Saint-Marcel 56140
56229,12,1429,Saint-Martin 56200
56230,2,1679,Saint-Nicolas-Du-Tertre 56910
56231,23,2814,Saint-Nolff 56250
56232,2,2198,Saint-Perreux 56350
56233,33,5158,Saint-Philibert 56470
56234,22,5811,Saint-Pierre-Quiberon 56510
56236,12,1580,Saint-Servant 56120
56237,7,1905,Saint-Thuriau 56300
56238,9,1375,Saint-Tugdual 56540
56239,11,1394,Saint-Vincent-Sur-Oust 56350
56240,191,4451,Sarzeau 56370
56241,3,6189,Sauzon 56360
56242,25,1310,Seglien 56160
56243,47,4371,Sene 56860
56244,11,1618,Serent 56460
56245,13,1424,Silfiac 56480
56246,5,1841,Le Sourn 56300
56247,21,3198,Sulniac 56250
56248,18,3442,Surzur 56450
56249,21,1442,Taupont 56800
56250,7,2262,Thehillac 56130
56251,28,3790,Theix 56450
56252,16,4237,Le Tour-Du-Parc 56370
56253,8,1395,Treal 56140
56254,3,2428,Tredion 56250
56255,5,2996,Trefflean 56250
56256,1,2137,Trehorenteuc 56430
56257,4,929,La Trinite-Porhoet 56490
56258,24,6273,La Trinite-Sur-Mer 56470
56259,3,2895,La Trinite-Surzur 56190
56260,245,4137,Vannes 56000
56261,1,2211,La Vraie-Croix 56250
56262,31,3849,Bono 56400
56263,17,3446,Sainte-Anne-D'auray 56400
56264,3,1612,Kernascleden 56540
