Lieu,Nombre de maisons à vendre,Prix moyen au m2
La Chapelle-Neuve 56500,12,1585
La Chapelle-Saint-Aubert 35140,1,2018
La Chapelle-Sur-Erdre 44240,1,2373
La Chapelle-Sur-Loire 37140,1,1757
La Chapelle-Thouarault 35590,3,3232
La Cheze 22210,16,956
La Colle-Sur-Loup 06480,1,6355
La Couyere 35320,4,1635
La Croix-Hellean 56120,3,1466
La Dominelais 35390,4,1198
La Feuillee 29690,15,1584
La Forest-Landerneau 29800,4,2848
La Foret-Fouesnant 29940,62,3659
La Fresnais 35111,19,2140
La Gacilly 56200,21,1755
La Gouesniere 35350,9,2798
La Gree-Saint-Laurent 56120,8,1517
La Guerche-De-Bretagne 35130,54,1569
La Harmoye 22320,1,805
La Jarrie-Audouin 17330,1,1368
La Malhoure 22640,2,2164
La Martyre 29800,3,1456
La Meaugon 22440,5,1962
La Meziere 35520,41,3043
La Mothe-Achard 85150,1,2595
La Motte 22600,8,1708
La Motte 83920,1,5661
La Noe-Blanche 35470,3,1877
La Prenessaye 22210,9,1171
La Richardais 35780,20,3863
La Roche-Bernard 56130,8,2982
La Roche-Derrien 22450,10,1649
La Roche-Maurice 29800,3,2501
La Roche-Sur-Yon 85000,1,2547
La Roquette-Sur-Siagne 06550,1,6413
La Salle-Les-Alpes 05240,1,2390
La Teste-De-Buch 33260,1,5882
La Trinite-Porhoet 56490,4,929
La Trinite-Sur-Mer 56470,25,6169
La Trinite-Surzur 56190,3,2895
La Turbie 06320,3,8303
La Verpilliere 38290,1,2890
La Vicomte-Sur-Rance 22690,11,3434
La Ville-Es-Nonais 35430,7,2999
La Vraie-Croix 56250,1,2211
Lagny-Sur-Marne 77400,1,3390
Laignelet 35133,6,2229
Laignes 21330,1,843
Laille 35890,25,2854
Lalleu 35320,1,1495
Lamarque 33460,1,2355
Lamballe 22400,72,2402
Lampaul-Guimiliau 29400,9,2181
Lampaul-Plouarzel 29810,11,3081
Lampaul-Ploudalmezeau 29830,1,1834
Lanarvily 29260,1,1590
Lancieux 22770,10,5484
Landaul 56690,12,3040
Landavran 35450,1,1504
Landean 35133,10,2150
Landebia 22130,4,1476
Landeda 29870,22,2894
Landehen 22400,9,1838
Landeleau 29530,3,869
Landerneau 29800,39,2233
Landevant 56690,27,2786
Landevennec 29560,6,3908
Landivisiau 29400,45,2117
Landrevarzec 29510,3,2029
Landudal 29510,1,2111
Landudec 29710,12,1640
Landujan 35360,3,1947
Landunvez 29840,11,3148
Lanester 56600,57,2691
Lanfains 22800,8,1807
Langan 35850,1,1979
Langast 22150,7,1174
Langoat 22450,9,1649
Langoelan 56160,14,1235
Langolen 29510,3,1729
Langonnet 56630,29,1487
Langon 35660,10,1705
Langouet 35630,8,2600
Langourla 22330,5,1126
Langrolay-Sur-Rance 22490,10,2409
Languedias 22980,1,1997
Languenan 22130,8,2260
Langueux 22360,18,2688
Languidic 56440,81,2455
Lanhouarneau 29430,7,2066
Lanildut 29840,7,2425
Laniscat 22570,15,1287
Lanloup 22580,3,2092
Lanmeur 29620,19,2036
Lanmodez 22610,1,967
Lanneanou 29640,9,1580
Lannebert 22290,5,1670
Lannedern 29190,1,997
Lannilis 29870,27,2130
Lannion 22300,108,2486
Lanouee 56120,25,1476
Lanrelas 22250,5,1005
Lanrivain 22480,6,1212
Lanrivoare 29290,1,2524
Lanrodec 22170,1,2004
Lantic 22410,18,2534
Lantillac 56120,6,1348
Lanvallay 22100,36,2223
Lanvaudan 56240,4,1489
Lanvellec 22420,7,2235
Lanvenegen 56320,17,1407
Lanveoc 29160,21,2216
Lanvollon 22290,27,1897
Larmor-Baden 56870,29,5740
Larmor-Plage 56260,50,4715
Laroque-Des-Alberes 66740,1,25364
Larre 56230,5,2393
Lassy 35580,5,2217
Laudun-L'ardoise 30290,1,1772
Laurenan 22230,3,970
Lauzach 56190,3,2555
Layrac 47390,1,500
Laz 29520,6,1230
Le Bodeo 22320,1,1289
Le Bois-Robert 76590,1,2102
Le Buisson-De-Cadouin 24480,1,1800
Le Cambout 22210,1,914
Le Castellet 83330,1,6646
Le Cellier 44850,2,2090
Le Chatellier 35133,3,1125
Le Cloitre-Pleyben 29190,1,1060
Le Cloitre-Saint-Thegonnec 29410,3,794
Le Conquet 29217,13,2863
Le Croisty 56540,9,1434
Le Drennec 29860,2,2754
Le Faouet 22290,4,1630
Le Faouet 56320,27,1618
Le Faou 29590,20,1929
Le Ferre 35420,4,943
Le Foeil 22800,3,2529
Le Folgoet 29260,6,2491
Le Gouray 22330,19,1374
Le Guerno 56190,10,2687
Le Haut-Corlay 22320,5,1459
Le Havre 76600,1,2300
Le Hezo 56450,13,3634
Le Hingle 22100,4,1728
Le Houlme 76770,1,2286
Le Juch 29100,4,2478
Le Leslay 22800,1,1831
Le Loroux 35133,5,1389
Le Lorrain 97214,1,1316
Le Mans 72000,1,2257
Le Marin 97290,1,4286
Le May-Sur-Evre 49122,1,2722
Le Merzer 22200,6,1557
Le Mesnil-Esnard 76240,1,2640
Le Minihic-Sur-Rance 35870,40,3622
Le Moustoir 22340,2,1619
Le Neubourg 27110,1,1970
Le Palais 56360,25,5716
Le Perray-En-Yvelines 78610,1,3139
Le Pertre 35370,6,1219
Le Petit-Fougeray 35320,2,1449
Le Petit-Quevilly 76140,2,2286
Le Poire-Sur-Vie 85170,2,2701
Le Pontet 84130,1,3173
Le Quillio 22460,7,1514
Le Quiou 22630,2,1706
Le Raincy 93340,1,4206
Le Relecq-Kerhuon 29480,55,3563
Le Rheu 35650,41,2744
Le Roc-Saint-Andre 56460,12,1696
Le Saint 56110,5,1487
Le Sel-De-Bretagne 35320,3,1754
Le Sourn 56300,5,1841
Le Tampon 97430,2,3329
Le Theil-De-Bretagne 35240,5,2095
Le Thoronet 83340,1,5806
Le Tiercent 35460,2,1312
Le Tour-Du-Parc 56370,18,4070
Le Trehou 29450,5,2681
Le Trevoux 29380,13,2321
Le Tronchet 35540,9,1897
Le Val-Saint-Germain 91530,1,2148
Le Verger 35160,1,2338
Le Vieux-Bourg 22800,3,1314
Le Vieux-Marche 22420,13,1803
Le Vivier-Sur-Mer 35960,19,2995
Lecousse 35133,27,2230
Ledenon 30210,1,2362
Ledignan 30350,1,2338
Lennon 29190,6,1275
Les Abrets 38490,2,2067
Les Brulais 35330,14,1462
Les Champs-Geraux 22630,4,2412
Les Fougerets 56200,8,1747
Les Iffs 35630,5,2653
Les Issambres 83380,26,8865
Les Magnils-Reigniers 85400,2,1686
Les Sables-D'olonne 85180,1,3102
Lescouet-Gouarec 22570,3,1267
Lesneven 29260,26,1941
Leuhan 29390,16,1206
Lezardrieux 22740,24,2547
Lieurey 27560,1,2612
Lieuron 35550,2,2230
Liez 85420,1,1000
Liffre 35340,80,2720
Lignol 56160,23,1503
Lillemer 35111,3,2079
Limay 78520,1,4793
Limerzel 56220,2,1645
Limoges 87000,1,2500
Livre-Sur-Changeon 35450,4,2319
Lizio 56460,8,1666
Loc-Eguiner 29400,3,1970
Locarn 22340,4,1446
Locmalo 56160,28,1469
Locmaria-Grand-Champ 56390,10,3164
Locmaria-Plouzane 29280,30,3287
Locmariaquer 56740,31,5344
Locmaria 56360,13,5586
Locmelar 29400,1,1560
Locmine 56500,25,2354
Locmiquelic 56570,18,3146
Locoal-Mendon 56550,36,3027
Locqueltas 56390,8,2984
Locquenole 29670,7,2396
Locquirec 29241,15,3593
Locronan 29180,7,2724
Loctudy 29750,50,3220
Locunole 29310,6,1814
Logonna-Daoulas 29460,26,2637
Loguivy-Plougras 22780,9,984
Loheac 35550,1,2033
Lohuec 22160,3,1128
Longaulnay 35190,2,1708
Longjumeau 91160,1,2867
Lons-Le-Saunier 39000,1,2211
Loperec 29590,4,1926
Loperhet 29470,19,2262
Loqueffret 29530,3,735
Lorient 56100,124,3223
Loscouet-Sur-Meu 22230,5,1078
Louannec 22700,25,3110
Louargat 22540,9,1513
Loudeac 22600,41,1523
Lourmais 35270,3,1781
Loutehel 35330,1,1553
Louvigne-De-Bais 35680,12,1758
Louvigne-Du-Desert 35420,31,1271
Louvigny 14111,1,2745
Loyat 56800,21,1487
Lucenay 69480,1,2238
Luitre 35133,6,1058
Lury-Sur-Arnon 18120,1,1066
Lussan 30580,1,5000
Mael-Carhaix 22340,20,1391
Mael-Pestivien 22160,2,1542
Magoar 22480,2,2143
Mahalon 29790,3,2349
Maintenon 28130,1,1643
Maisons-Alfort 94700,1,5739
Malansac 56220,11,1996
Malestroit 56140,17,2340
Malguenac 56300,9,1326
Mantallot 22450,3,1996
Marchastel 15400,1,287
Marcille-Raoul 35560,1,2208
Margency 95580,2,3654
Marpire 35220,3,1770
Marseille-14e 13014,1,3007
Martigne-Ferchaud 35640,56,1377
Martrin 12550,1,1547
Marzan 56130,38,2790
Matignon 22550,16,2445
Maure-De-Bretagne 35330,16,1640
Mauron 56430,27,1521
Maury 66460,1,709
Maxent 35380,3,782
Mayenne 53100,1,1516
Mazamet 81200,1,1429
Mece 35450,4,2350
Medreac 35360,13,2103
Megrit 22270,2,2269
Meillac 35270,8,2133
Melesse 35520,55,2854
Melgven 29140,17,2338
Mellac 29300,16,2209
Melle 35420,3,1731
Mellionnec 22110,9,1528
Melrand 56310,34,1543
Meneac 56490,30,1398
Merdrignac 22230,15,1448
Merillac 22230,3,1503
Merleac 22460,7,1177
Merlevenez 56700,18,2952
Mernel 35330,2,655
Meslan 56320,13,1579
Mespaul 29420,10,1928
Messac 35480,9,1779
Meucon 56890,12,3340
Meudon 92190,2,8383
Meynes 30840,1,2000
Mezieres-Sur-Couesnon 35140,9,1953
Mezilles 89130,1,1510
Miniac-Morvan 35540,61,2508
Miniac-Sous-Becherel 35190,3,2073
Minihy-Treguier 22220,2,2191
Missiriac 56140,8,1761
Mitry-Mory 77290,1,2475
Moelan-Sur-Mer 29350,91,3360
Mohon 56490,12,1223
Molac 56230,4,1869
Monbazillac 24240,1,2354
Moncontour 22510,8,1689
Mondevert 35370,3,1944
Monnaie 37380,1,2040
Mont-De-Marsan 40000,2,1415
Mont-Dol 35120,13,2285
Mont-Saint-Aignan 76130,3,3091
Montauban-De-Bretagne 35360,40,2222
Montautour 35210,1,1483
Monteneuf 56380,7,1955
Monterblanc 56250,9,2968
Monterfil 35160,4,2042
Montesson 78360,1,4157
Montfaucon 30150,1,2875
Montfort-L'amaury 78490,1,4276
Montfort-Sur-Meu 35160,18,2485
Montgermont 35760,9,3288
Monthault 35420,2,1172
Montigny-Les-Cormeilles 95370,1,4082
Montigny 76380,1,4359
Montlignon 95680,1,4077
Montner 66720,1,1798
Montoire-Sur-Le-Loir 41800,1,1821
Montours 35460,15,1527
Montpellier 34000,1,3133
Montpon-Menesterol 24700,1,1500
Montreuil-Des-Landes 35210,3,1833
Montreuil-Le-Gast 35520,16,3161
Montreuil-Sous-Perouse 35500,5,1836
Montreuil-Sur-Ille 35440,12,2252
Montreuil 93100,2,3326
Mordelles 35310,19,2646
Moreac 56500,15,1950
Morgny-La-Pommeraye 76750,1,2732
Morieux 22400,4,2409
Morlaix 29600,62,2101
